Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"Parsed","∫∏Ω∫ - ∏« Ω∫ƒ›««ø¬","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\manscorpion.html","HTML","24628","","200 OK","0",""
"Parsed","","http://crassus.ivyro.net/manual/manual.css","../crassus.ivyro.net\manual\manual.css","HTML","2831","Sun, 19 Oct 2014 04:18:34 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","","http://crassus.ivyro.net/script/iezn_embed_patch.js","../crassus.ivyro.net\script\iezn_embed_patch.js","HTML","1979","Wed, 25 Jun 2014 11:25:57 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","","http://crassus.ivyro.net/script/AC_RunActiveContent.js","../crassus.ivyro.net\script\AC_RunActiveContent.js","HTML","8029","Mon, 23 Jun 2014 11:27:23 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫","http://crassus.ivyro.net/manual/bosses/default/boss_main.html","../crassus.ivyro.net\manual\bosses\default\boss_main.html","HTML","8025","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","","http://crassus.ivyro.net/manual/bosses/default/bossmenu.swf","../crassus.ivyro.net\manual\bosses\default\bossmenu.swf","Plugins","89434","Sun, 14 Dec 2014 03:19:31 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ¥Ÿ≈© øˆ∏ÆæÓ vs ∆ƒ¿Ã≈Õ","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-fighter.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-fighter.html","HTML","10210","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ¥Ÿ≈© øˆ∏ÆæÓ vs ≈¨∑π∏Ø","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-cleric.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-cleric.html","HTML","11940","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ¥Ÿ≈© øˆ∏ÆæÓ vs Ω√«¡","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-thief.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-thief.html","HTML","12638","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ¥Ÿ≈© øˆ∏ÆæÓ vs ∏≈¡˜ ¿Ø¿˙","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-magicuser.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-magicuser.html","HTML","19749","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ¥Ÿ≈© øˆ∏ÆæÓ vs µÂøˆ«¡","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-dwarf.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-dwarf.html","HTML","16762","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ¥Ÿ≈© øˆ∏ÆæÓ vs µÂøˆ«¡","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-elf.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-elf.html","HTML","15779","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","∫∏Ω∫ - ∏« Ω∫ƒ›««ø¬ vs ∆ƒ∆º «√∑π¿Ã","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/ms-party.html","../crassus.ivyro.net\manual\bosses\(c)manscorpion\ms-party.html","HTML","16323","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.gif","../crassus.ivyro.net\manual\bosses\(c)manscorpion\manscorpion.gif","Images","5725","Sat, 13 Dec 2014 07:53:47 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/bosses/default/bonus_finish.png","../crassus.ivyro.net\manual\bosses\default\bonus_finish.png","Images","3175","Sun, 14 Dec 2014 03:19:31 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","&nbsp;","http://crassus.ivyro.net/manual/bosses/default/bonus_nicefight.png","../crassus.ivyro.net\manual\bosses\default\bonus_nicefight.png","Images","3173","Sun, 14 Dec 2014 03:19:31 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","æ∆¿Ã≈€-¿Â∫Ò∑˘","http://crassus.ivyro.net/manual/items/item_equip.html","../crassus.ivyro.net\manual\items\item_equip.html","HTML","74177","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/h3-spell_turning.gif","../crassus.ivyro.net\manual\items\img\h3-spell_turning.gif","Images","535","Sat, 21 Jun 2014 10:04:09 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/p2-orb.gif","../crassus.ivyro.net\manual\items\img\p2-orb.gif","Images","638","Sat, 21 Jun 2014 10:04:10 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","æ∆¿Ã≈€-∫∏ºÆ∑˘&amp;±‚≈∏","http://crassus.ivyro.net/manual/items/item_etc.html","../crassus.ivyro.net\manual\items\item_etc.html","HTML","34216","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/o4-opal.png","../crassus.ivyro.net\manual\items\img\o4-opal.png","Images","3059","Sat, 21 Jun 2014 10:04:10 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/o3-aquamarine.png","../crassus.ivyro.net\manual\items\img\o3-aquamarine.png","Images","3063","Sat, 21 Jun 2014 10:04:10 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Parsed","æ∆¿Ã≈€-µµ±∏∑˘","http://crassus.ivyro.net/manual/items/item_tools.html","../crassus.ivyro.net\manual\items\item_tools.html","HTML","55998","","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/j4-arrow.gif","../crassus.ivyro.net\manual\items\img\j4-arrow.gif","Images","247","Sat, 21 Jun 2014 10:04:09 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/k1-hammer.gif","../crassus.ivyro.net\manual\items\img\k1-hammer.gif","Images","317","Sat, 21 Jun 2014 10:04:09 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/k2-b-oil.gif","../crassus.ivyro.net\manual\items\img\k2-b-oil.gif","Images","300","Sat, 21 Jun 2014 10:04:09 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/k4-dagger.gif","../crassus.ivyro.net\manual\items\img\k4-dagger.gif","Images","243","Sat, 21 Jun 2014 10:04:09 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/f5-m_m(b).gif","../crassus.ivyro.net\manual\items\img\f5-m_m(b).gif","Images","329","Sat, 21 Jun 2014 10:04:08 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/f6-fire_b(b).gif","../crassus.ivyro.net\manual\items\img\f6-fire_b(b).gif","Images","330","Sat, 21 Jun 2014 10:04:08 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/g1-l_bolts(b).gif","../crassus.ivyro.net\manual\items\img\g1-l_bolts(b).gif","Images","313","Sat, 21 Jun 2014 10:04:08 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/g4-csw(b).gif","../crassus.ivyro.net\manual\items\img\g4-csw(b).gif","Images","336","Sat, 21 Jun 2014 10:04:08 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
"Saved","","http://crassus.ivyro.net/manual/items/img/g5-c_l(b).gif","../crassus.ivyro.net\manual\items\img\g5-c_l(b).gif","Images","329","Sat, 21 Jun 2014 10:04:09 GMT","200 OK","1","http://crassus.ivyro.net/manual/bosses/(c)manscorpion/manscorpion.html"
